"Load Date","Service Order ID","Customer ID","Customer Name","Description","Status","Service Product ID","Service Product Description","Req. Delivery Date","Go-Live Date","Service Order Group","Qty","UoM"
10/01/2017 00:00:00,73310687.00,1211788.00,"Nationwide Building Society","CW38&39, GLS Banking, DB2, BW (ons/rem)","Delivery confirmed",9500246.00,"SAP Going Live Support",19/09/2015 00:00:00,05/09/2015 00:00:00,"Processed",,
10/01/2017 00:00:00,73315766.00,1211788.00,"Nationwide Building Society",,"Delivery confirmed",9500246.00,"SAP Going Live Support",20/06/2015 00:00:00,20/06/2015 00:00:00,"Processed",,
10/01/2017 00:00:00,73322922.00,1211788.00,"Nationwide Building Society","CW33 -53, Empowering Service","Delivery confirmed",9500540.00,"SAP Empowering Service",10/08/2015 00:00:00,07/09/2015 00:00:00,"Processed",,
10/01/2017 00:00:00,73322925.00,1211788.00,"Nationwide Building Society","CW34+35, Emp. Service","Delivery confirmed",9500540.00,"SAP Empowering Service",18/08/2015 00:00:00,27/08/2015 00:00:00,"Processed",,
10/01/2017 00:00:00,73325891.00,1211788.00,"Nationwide Building Society","CW29: Zero Downtime initial analysis","New",9500540.00,"SAP Empowering Service",27/08/2015 00:00:00,31/08/2015 00:00:00,"Processed",,
10/01/2017 00:00:00,73330338.00,1211788.00,"Nationwide Building Society","On Call Duty R. Lovegrove","Delivered",9500310.00,"SAP On Call Duty",26/09/2015 00:00:00,26/09/2015 00:00:00,"Processed",,
10/01/2017 00:00:00,73337195.00,1211788.00,"Nationwide Building Society","CW03, TIC Banking, IS-B, DB2, Data Servi","Delivery confirmed",9500100.00,"SAP Technical Integration Check",18/01/2016 00:00:00,13/03/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73337196.00,1211788.00,"Nationwide Building Society","CW09, TFC Banking, BW","Delivery confirmed",9500072.00,"SAP Technical Feasibility Check",29/02/2016 00:00:00,13/08/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73337258.00,1211788.00,"Nationwide Building Society","CW19, TIC Banking, DB2 zOS; BW (Onsite)","Delivered",9500100.00,"SAP Technical Integration Check",09/05/2016 00:00:00,09/07/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73337725.00,1211788.00,"Nationwide Building Society","CW10, GLS Banking, DB2, Tech, DS, BW","Delivery confirmed",9500246.00,"SAP Going Live Support",12/03/2016 00:00:00,08/03/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73339214.00,1211788.00,"Nationwide Building Society","Data Services Upgrade Empowering","Delivery confirmed",9500540.00,"SAP Empowering Service",04/01/2016 00:00:00,13/03/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73339216.00,1211788.00,"Nationwide Building Society",,"Cancelled",9500540.00,"SAP Empowering Service",04/01/2016 00:00:00,13/03/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73340887.00,1211788.00,"Nationwide Building Society","GoingLive DB2 v11","Delivery confirmed",9500246.00,"SAP Going Live Support",12/02/2016 00:00:00,16/02/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73343126.00,1211788.00,"Nationwide Building Society","CW06, Custom Code Mgmt. Cockpit setup","Delivery confirmed",9502417.00,"SAP ESRV Custom Code Management",08/02/2016 00:00:00,15/02/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73343696.00,1211788.00,"Nationwide Building Society","On call duty NBS Front Office Team 2016","Delivery confirmed",9500310.00,"SAP On Call Duty",04/01/2016 00:00:00,04/01/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73343935.00,1211788.00,"Nationwide Building Society","CW09-24, ChaRM Add-On Implementation","Cancelled",9502345.00,"SAP ESRV Change Control Management",15/02/2016 00:00:00,16/05/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73343936.00,1211788.00,"Nationwide Building Society","CW09-45, ChaRM Project Implementation","Cancelled",9502348.00,"SAP ESRV ALM Roadmap",15/02/2016 00:00:00,17/10/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73343937.00,1211788.00,"Nationwide Building Society","CW21-26, ChaRM MANGO Implementation","Cancelled",9502345.00,"SAP ESRV Change Control Management",11/04/2016 00:00:00,16/05/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73346782.00,1211788.00,"Nationwide Building Society","On call duty NBS EA and TQM  2016","Delivery confirmed",9500310.00,"SAP On Call Duty",05/02/2016 00:00:00,05/02/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73355584.00,1211788.00,"Nationwide Building Society","CW23, Custom Code Impact Analysis","Delivery confirmed",9502417.00,"SAP Custom Code Management",06/06/2016 00:00:00,12/12/2016 00:00:00,"Processed",,
10/01/2017 00:00:00,73356564.00,1211788.00,"Nationwide Building Society","CW15-52: ChaRM Project Implementation","Delivery confirmed",9502348.00,"SAP ESRV ALM Roadmap",19/04/2016 00:00:00,25/11/2016 00:00:00,"Processed",,
