ContractID,ItemID,DayWeight,CRMConversion,DirectConsumption,ZS_MSD_Reporting
176011560,110,1,1,TRUE,Cons
176011560,120,1,1,TRUE,Cons
176011560,130,1,1,TRUE,Cons
176011560,140,1,1,FALSE,Staf
176011560,150,1,1,FALSE,Staf
176011560,155,1,1,FALSE,Staf
176011560,160,0.5,1.5,FALSE,Staf
176013941,100,1,1,FALSE,Staf
176013941,110,1,1,FALSE,Staf
176013941,120,1,1,TRUE,Cons
176013941,200,1,1,FALSE,Staf
176013941,220,1,1,TRUE,Cons
176015053,20,1,1,TRUE,Cons
176015053,30,1,1,TRUE,Cons
176015053,40,1,1,FALSE,Staf
176015053,51,1,1,FALSE,Staf
176015053,60,0.5,1.5,FALSE,Staf
176015053,70,1,1,TRUE,Cons
